epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5912,1.36114,2.27634,2.54008,1.1523,0,0.26863,0.71201,0.34252,0.2235,0.26263,0.69118,0.32879,0.15926,1.19472,3.29587,2.13658,1.1329,0,0.000329412,0.000329412,0.0673882
2,105.787,1.22204,1.83316,1.61296,1.09422,0,0.49931,0.65649,0.58977,0.3873,0.49708,0.65323,0.58583,0.34293,1.19058,2.01292,1.44144,1.16043,0,0.000662583,0.000662583,0.0343881
3,158.117,1.1938,1.7759,1.46682,1.09899,0,0.39856,0.81018,0.54909,0.36632,0.39966,0.8131,0.55064,0.32558,1.16646,1.81607,1.31978,1.14495,0,0.000995105,0.000995105,0.00138726
4,210.414,1.19164,1.80806,1.37525,1.07874,0,0.5447,0.82117,0.71316,0.47577,0.54429,0.82284,0.71349,0.41946,1.1682,1.74318,1.15047,1.14752,0,0.000997803,0.000997803,0.000997803
5,262.617,1.15362,1.7221,1.20819,1.08631,0,0.70928,0.84686,0.83347,0.56671,0.7114,0.8446,0.8331,0.50389,1.13828,1.77538,0.95131,1.14261,0,0.000996097,0.000996097,0.000996097
6,315.413,1.15924,1.68971,1.00472,1.07725,0,0.8183,0.87277,0.91119,0.61688,0.81872,0.87382,0.91252,0.54695,1.14349,1.68981,0.83115,1.14517,0,0.000993906,0.000993906,0.000993906
7,367.991,1.15317,1.67012,0.90847,1.09104,0,0.89892,0.91344,0.95636,0.651,0.89993,0.91446,0.95701,0.57433,1.14305,1.68663,0.68494,1.14267,0,0.000991232,0.000991232,0.000991232
8,420.213,1.15425,1.68072,0.84075,1.08761,0,0.91569,0.90186,0.95749,0.63742,0.91097,0.90382,0.95545,0.582,1.17711,1.73069,0.66583,1.16555,0,0.000988079,0.000988079,0.000988079
9,471.681,1.12714,1.65333,0.80948,1.08525,0,0.93323,0.92759,0.96735,0.65494,0.93259,0.92696,0.96492,0.55755,1.12769,1.70235,0.63678,1.13291,0,0.000984449,0.000984449,0.000984449
10,524.037,1.14642,1.65827,0.78811,1.08591,0,0.9145,0.92661,0.95957,0.62902,0.91828,0.92464,0.95938,0.56669,1.18031,1.71455,0.66163,1.17753,0,0.000980345,0.000980345,0.000980345
11,576.297,1.13073,1.62064,0.75655,1.07855,0,0.91665,0.94315,0.96427,0.65662,0.91516,0.9415,0.96281,0.57933,1.11552,1.66279,0.62613,1.13594,0,0.000975773,0.000975773,0.000975773
12,628.341,1.12026,1.62132,0.73576,1.07256,0,0.92888,0.93228,0.96758,0.65471,0.9273,0.93071,0.96453,0.56685,1.1319,1.65856,0.59416,1.1439,0,0.000970736,0.000970736,0.000970736
13,680.083,1.12401,1.62109,0.73913,1.0765,0,0.93381,0.93944,0.96604,0.65378,0.9317,0.93891,0.96333,0.58018,1.13638,1.66504,0.59486,1.14219,0,0.000965239,0.000965239,0.000965239
14,732.54,1.11851,1.6078,0.69478,1.06227,0,0.90715,0.91402,0.95709,0.64937,0.91273,0.91441,0.95875,0.57346,1.12995,1.64603,0.6155,1.13861,0,0.000959289,0.000959289,0.000959289
15,784.73,1.09848,1.59053,0.68291,1.06229,0,0.93921,0.94283,0.96948,0.65784,0.93868,0.94372,0.96898,0.58632,1.12653,1.67858,0.56647,1.14275,0,0.000952889,0.000952889,0.000952889
16,836.196,1.10765,1.58371,0.69359,1.07939,0,0.94125,0.94702,0.96812,0.66115,0.94231,0.94666,0.96924,0.58269,1.12321,1.67683,0.5589,1.14297,0,0.000946048,0.000946048,0.000946048
17,888.259,1.10475,1.57548,0.65492,1.0708,0,0.93537,0.93252,0.96819,0.66162,0.9369,0.93181,0.96719,0.58119,1.12882,1.66284,0.57355,1.1431,0,0.000938772,0.000938772,0.000938772
18,939.703,1.1,1.57924,0.66364,1.06391,0,0.94999,0.93752,0.97214,0.66688,0.94923,0.93684,0.9705,0.57402,1.11494,1.62477,0.54817,1.13577,0,0.000931067,0.000931067,0.000931067
19,991.715,1.11532,1.57294,0.67745,1.08054,0,0.93503,0.92511,0.96376,0.65407,0.93751,0.92696,0.96742,0.58513,1.13822,1.70069,0.56901,1.14889,0,0.000922942,0.000922942,0.000922942
20,1043.48,1.08964,1.57031,0.65155,1.06366,0,0.93878,0.9326,0.96944,0.66396,0.93649,0.93073,0.9662,0.58505,1.11267,1.63375,0.54122,1.1314,0,0.000914405,0.000914405,0.000914405
21,1095.49,1.09063,1.55879,0.63561,1.06243,0,0.93708,0.94832,0.96742,0.65806,0.93793,0.94624,0.96703,0.57465,1.13629,1.65522,0.54522,1.14899,0,0.000905463,0.000905463,0.000905463
22,1147.71,1.09787,1.57092,0.644,1.06135,0,0.92691,0.92142,0.95957,0.64781,0.91727,0.9273,0.9578,0.58444,1.14302,1.71668,0.57272,1.14764,0,0.000896127,0.000896127,0.000896127
23,1200.46,1.08701,1.56479,0.64377,1.05367,0,0.93649,0.95035,0.97195,0.66454,0.93626,0.94989,0.97172,0.58412,1.12645,1.61626,0.52583,1.14002,0,0.000886404,0.000886404,0.000886404
24,1252.47,1.08403,1.5598,0.61953,1.05762,0,0.94047,0.94561,0.97015,0.66382,0.93927,0.94525,0.97083,0.58597,1.11404,1.62504,0.53062,1.13635,0,0.000876305,0.000876305,0.000876305
25,1304.36,1.07481,1.53709,0.61254,1.05608,0,0.94674,0.9384,0.96639,0.65925,0.94652,0.93751,0.96596,0.58211,1.12476,1.62598,0.53053,1.14328,0,0.000865839,0.000865839,0.000865839
26,1356.06,1.08847,1.56502,0.62142,1.07128,0,0.94055,0.94476,0.96661,0.66141,0.94099,0.94458,0.96775,0.58164,1.12358,1.63309,0.53958,1.13984,0,0.000855018,0.000855018,0.000855018
27,1408.06,1.0699,1.51964,0.59438,1.04716,0,0.93651,0.9455,0.96515,0.65641,0.93787,0.94656,0.96739,0.5765,1.12836,1.62658,0.53353,1.14133,0,0.000843851,0.000843851,0.000843851
28,1459.77,1.08687,1.5537,0.61486,1.05719,0,0.94572,0.94643,0.9712,0.66167,0.94681,0.94752,0.97201,0.58265,1.12587,1.62946,0.52576,1.14509,0,0.000832349,0.000832349,0.000832349
29,1511.82,1.07278,1.53672,0.59518,1.05872,0,0.95243,0.94122,0.97136,0.66324,0.95358,0.94403,0.97331,0.58758,1.11976,1.62325,0.51381,1.13932,0,0.000820525,0.000820525,0.000820525
30,1564.26,1.06285,1.51913,0.57032,1.04642,0,0.94463,0.94194,0.9721,0.66746,0.94447,0.94204,0.97145,0.5864,1.12184,1.63001,0.51308,1.14258,0,0.000808389,0.000808389,0.000808389
31,1615.74,1.05792,1.51639,0.57028,1.05787,0,0.94656,0.94579,0.97112,0.65977,0.94638,0.94555,0.97182,0.58112,1.12642,1.61912,0.50646,1.15412,0,0.000795954,0.000795954,0.000795954
32,1668.17,1.04837,1.49437,0.57234,1.03782,0,0.94644,0.9496,0.97264,0.66164,0.94754,0.94955,0.97273,0.57335,1.12786,1.62058,0.50095,1.15082,0,0.000783231,0.000783231,0.000783231
33,1720.13,1.04478,1.49946,0.56206,1.04611,0,0.94899,0.94744,0.97267,0.65949,0.95225,0.94935,0.97512,0.59077,1.12729,1.63271,0.50159,1.1472,0,0.000770234,0.000770234,0.000770234
34,1772.07,1.04747,1.49564,0.55076,1.03447,0,0.94052,0.94454,0.96905,0.6629,0.93929,0.94407,0.96761,0.57888,1.12396,1.63048,0.516,1.14423,0,0.000756976,0.000756976,0.000756976
